Enter a street name to search for: Real Estate Search
['0073737', ['Land Class\nEXEMPT  \n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'EXEMPT'], ['Soil Class', '4'], ['Deeded Acres', '11.38'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0064116', ['Land Class\nAC-W/IMP\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'AC-W/IMP'], ['Soil Class', '4'], ['Deeded Acres', '0.31'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0442400', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', ''], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0064117', ['Land Class\nAC-W/IMP\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'AC-W/IMP'], ['Soil Class', '4'], ['Deeded Acres', '0.11'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0442404', ['Land Class\nP EXEMPT\n\xa0\n\nSoil Class', 'Land Class'], ['Land Class', 'P EXEMPT'], ['Soil Class', ''], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0068509', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '1.46'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0442404', ['Land Class\nP EXEMPT\n\xa0\n\nSoil Class', 'Land Class'], ['Land Class', 'P EXEMPT'], ['Soil Class', ''], ['Deeded Acres', '0.00'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0068509', ['Land Class\nCONDOMIN\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'CONDOMIN'], ['Soil Class', '4'], ['Deeded Acres', '1.46'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0064117', ['Land Class\nAC-W/IMP\n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'AC-W/IMP'], ['Soil Class', '4'], ['Deeded Acres', '0.11'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0022883', ['Land Class\nEXEMPT  \n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'EXEMPT'], ['Soil Class', '4'], ['Deeded Acres', '4.05'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
['0022883', ['Land Class\nEXEMPT  \n\xa0\n\nSoil Class\n4', 'Land Class'], ['Land Class', 'EXEMPT'], ['Soil Class', '4'], ['Deeded Acres', '4.05'], ['Calculated Acres', ''], ['Farm Use Year', ''], ['Farm Use Flag', '']]
